"Tube_Line","From_Station","To_Station","Color"
"Bakerloo","Baker Street","Regents Park","Brown"
"Bakerloo","Charing Cross","Embankment","Brown"
"Bakerloo","Edgware Road","Marylebone","Brown"
"Bakerloo","Embankment","Waterloo","Brown"
"Bakerloo","Harlesden","Willesden Junction","Brown"
"Bakerloo","Harrow and Wealdstone","Kenton","Brown"
"Bakerloo","Kensal Green","Queens Park","Brown"
"Bakerloo","Kenton","South Kenton","Brown"
"Bakerloo","Kilburn Park","Maida Vale","Brown"
"Bakerloo","Lambeth North","Elephant and Castle","Brown"
"Bakerloo","Maida Vale","Warwick Avenue","Brown"
"Bakerloo","Marylebone","Baker Street","Brown"
"Bakerloo","North Wembley","Wembley Central","Brown"
"Bakerloo","Oxford Circus","Piccadilly Circus","Brown"
"Bakerloo","Paddington","Edgware Road","Brown"
"Bakerloo","Piccadilly Circus","Charing Cross","Brown"
"Bakerloo","Queens Park","Kilburn Park","Brown"
"Bakerloo","Regents Park","Oxford Circus","Brown"
"Bakerloo","South Kenton","North Wembley","Brown"
"Bakerloo","Stonebridge Park","Harlesden","Brown"
"Bakerloo","Warwick Avenue","Paddington","Brown"
"Bakerloo","Waterloo","Lambeth North","Brown"
"Bakerloo","Wembley Central","Stonebridge Park","Brown"
"Bakerloo","Willesden Junction","Kensal Green","Brown"
"C2C","Barking","Dagenham Dock","Violet"
"C2C","Barking","Upminster","Violet"
"C2C","Dagenham Dock","Purfleet","Violet"
"C2C","Dagenham Dock","Rainham","Violet"
"C2C","Fenchurch Street","Limehouse","Violet"
"C2C","Fenchurch Street","Stratford","Violet"
"C2C","Limehouse","West Ham","Violet"
"C2C","Liverpool Street","Stratford","Violet"
"C2C","Ockendon","Chafford Hundred","Violet"
"C2C","Stratford","Barking","Violet"
"C2C","Upminster","Ockendon","Violet"
"C2C","West Ham","Barking","Violet"
"Central","Bank","St. Pauls","Red"
"Central","Barkingside","Fairlop","Red"
"Central","Bethnal Green","Liverpool Street","Red"
"Central","Bond Street","Marble Arch","Red"
"Central","Buckhurst Hill","Woodford","Red"
"Central","Chancery Lane","Holborn","Red"
"Central","Chigwell","Roding Valley","Red"
"Central","Debden","Loughton","Red"
"Central","East Acton","North Acton","Red"
"Central","Epping","Theydon Bois","Red"
"Central","Fairlop","Hainault","Red"
"Central","Gants Hill","Newbury Park","Red"
"Central","Grange Hill","Chigwell","Red"
"Central","Greenford","Northolt","Red"
"Central","Hainault","Grange Hill","Red"
"Central","Hanger Lane","Perivale","Red"
"Central","Holborn","Tottenham Court Road","Red"
"Central","Holland Park","Shepherds Bush","Red"
"Central","Lancaster Gate","Queensway","Red"
"Central","Leyton","Stratford","Red"
"Central","Leytonstone","Leyton","Red"
"Central","Leytonstone","Wanstead","Red"
"Central","Liverpool Street","Bank","Red"
"Central","Loughton","Buckhurst Hill","Red"
"Central","Marble Arch","Lancaster Gate","Red"
"Central","Mile End","Bethnal Green","Red"
"Central","Newbury Park","Barkingside","Red"
"Central","North Acton","Hanger Lane","Red"
"Central","North Acton","West Acton","Red"
"Central","Northolt","South Ruislip","Red"
"Central","Notting Hill Gate","Holland Park","Red"
"Central","Oxford Circus","Bond Street","Red"
"Central","Perivale","Greenford","Red"
"Central","Queensway","Notting Hill Gate","Red"
"Central","Redbridge","Gants Hill","Red"
"Central","Ruislip Gardens","West Ruislip","Red"
"Central","Shepherds Bush","White City","Red"
"Central","Snaresbrook","Leytonstone","Red"
"Central","South Ruislip","Ruislip Gardens","Red"
"Central","South Woodford","Snaresbrook","Red"
"Central","St. Pauls","Chancery Lane","Red"
"Central","Stratford","Mile End","Red"
"Central","Theydon Bois","Debden","Red"
"Central","Tottenham Court Road","Oxford Circus","Red"
"Central","Wanstead","Redbridge","Red"
"Central","West Acton","Ealing Broadway","Red"
"Central","White City","East Acton","Red"
"Central","Woodford","South Woodford","Red"
"Chiltern Railways","Chalfont and Latimer","Amersham","Turquoise"
"Chiltern Railways","Chorleywood","Chalfont and Latimer","Turquoise"
"Chiltern Railways","Harrow-on-the-Hill","Rickmansworth","Turquoise"
"Chiltern Railways","Marylebone","Harrow-on-the-Hill","Turquoise"
"Chiltern Railways","Marylebone","Wembley Stadium","Turquoise"
"Chiltern Railways","Northolt Park","South Ruislip","Turquoise"
"Chiltern Railways","Paddington","South Ruislip","Turquoise"
"Chiltern Railways","Rickmansworth","Chorleywood","Turquoise"
"Chiltern Railways","South Ruislip","West Ruislip","Turquoise"
"Chiltern Railways","Sudbury and Harrow Road","Sudbury Hill Harrow","Turquoise"
"Chiltern Railways","Sudbury Hill Harrow","Northolt Park","Turquoise"
"Chiltern Railways","Wembley Stadium","Sudbury and Harrow Road","Turquoise"
"Circle","Aldgate","Tower Hill","Yellow"
"Circle","Baker Street","Great Portland Street","Yellow"
"Circle","Barbican","Moorgate","Yellow"
"Circle","Bayswater","Paddington","Yellow"
"Circle","Blackfriars","Temple","Yellow"
"Circle","Cannon Street","Mansion House","Yellow"
"Circle","Edgware Road","Baker Street","Yellow"
"Circle","Embankment","Westminster","Yellow"
"Circle","Euston Square","Kings Cross St. Pancras","Yellow"
"Circle","Farringdon","Barbican","Yellow"
"Circle","Gloucester Road","High Street Kensington","Yellow"
"Circle","Goldhawk Road","Shepherds Bush Market","Yellow"
"Circle","Great Portland Street","Euston Square","Yellow"
"Circle","Hammersmith","Goldhawk Road","Yellow"
"Circle","High Street Kensington","Notting Hill Gate","Yellow"
"Circle","Kings Cross St. Pancras","Farringdon","Yellow"
"Circle","Ladbroke Grove","Westbourne Park","Yellow"
"Circle","Latimer Road","Ladbroke Grove","Yellow"
"Circle","Liverpool Street","Aldgate","Yellow"
