"Tube_Line","From_Station","To_Station","Color","Type"
"Bakerloo","Baker Street","Regents Park","Brown","Tube"
"Bakerloo","Charing Cross","Embankment","Brown","Tube"
"Bakerloo","Edgware Road","Marylebone","Brown","Tube"
"Bakerloo","Embankment","Waterloo","Brown","Tube"
"Bakerloo","Harlesden","Willesden Junction","Brown","Tube"
"Bakerloo","Harrow and Wealdstone","Kenton","Brown","Tube"
"Bakerloo","Kensal Green","Queens Park","Brown","Tube"
"Bakerloo","Kenton","South Kenton","Brown","Tube"
"Bakerloo","Kilburn Park","Maida Vale","Brown","Tube"
"Bakerloo","Lambeth North","Elephant and Castle","Brown","Tube"
"Bakerloo","Maida Vale","Warwick Avenue","Brown","Tube"
"Bakerloo","Marylebone","Baker Street","Brown","Tube"
"Bakerloo","North Wembley","Wembley Central","Brown","Tube"
"Bakerloo","Oxford Circus","Piccadilly Circus","Brown","Tube"
"Bakerloo","Paddington","Edgware Road","Brown","Tube"
"Bakerloo","Piccadilly Circus","Charing Cross","Brown","Tube"
"Bakerloo","Queens Park","Kilburn Park","Brown","Tube"
"Bakerloo","Regents Park","Oxford Circus","Brown","Tube"
"Bakerloo","South Kenton","North Wembley","Brown","Tube"
"Bakerloo","Stonebridge Park","Harlesden","Brown","Tube"
"Bakerloo","Warwick Avenue","Paddington","Brown","Tube"
"Bakerloo","Waterloo","Lambeth North","Brown","Tube"
"Bakerloo","Wembley Central","Stonebridge Park","Brown","Tube"
"Bakerloo","Willesden Junction","Kensal Green","Brown","Tube"
"C2C","Barking","Dagenham Dock","Violet","Train"
"C2C","Barking","Upminster","Violet","Train"
"C2C","Dagenham Dock","Purfleet","Violet","Train"
"C2C","Dagenham Dock","Rainham","Violet","Train"
"C2C","Fenchurch Street","Limehouse","Violet","Train"
"C2C","Fenchurch Street","Stratford","Violet","Train"
"C2C","Limehouse","West Ham","Violet","Train"
"C2C","Liverpool Street","Stratford","Violet","Train"
"C2C","Ockendon","Chafford Hundred","Violet","Train"
"C2C","Stratford","Barking","Violet","Train"
"C2C","Upminster","Ockendon","Violet","Train"
"C2C","West Ham","Barking","Violet","Train"
"Central","Bank","St. Pauls","Red","Tube"
"Central","Barkingside","Fairlop","Red","Tube"
"Central","Bethnal Green","Liverpool Street","Red","Tube"
"Central","Bond Street","Marble Arch","Red","Tube"
"Central","Buckhurst Hill","Woodford","Red","Tube"
"Central","Chancery Lane","Holborn","Red","Tube"
"Central","Chigwell","Roding Valley","Red","Tube"
"Central","Debden","Loughton","Red","Tube"
"Central","East Acton","North Acton","Red","Tube"
"Central","Epping","Theydon Bois","Red","Tube"
"Central","Fairlop","Hainault","Red","Tube"
"Central","Gants Hill","Newbury Park","Red","Tube"
"Central","Grange Hill","Chigwell","Red","Tube"
"Central","Greenford","Northolt","Red","Tube"
"Central","Hainault","Grange Hill","Red","Tube"
"Central","Hanger Lane","Perivale","Red","Tube"
"Central","Holborn","Tottenham Court Road","Red","Tube"
"Central","Holland Park","Shepherds Bush","Red","Tube"
"Central","Lancaster Gate","Queensway","Red","Tube"
"Central","Leyton","Stratford","Red","Tube"
"Central","Leytonstone","Leyton","Red","Tube"
"Central","Leytonstone","Wanstead","Red","Tube"
"Central","Liverpool Street","Bank","Red","Tube"
"Central","Loughton","Buckhurst Hill","Red","Tube"
"Central","Marble Arch","Lancaster Gate","Red","Tube"
"Central","Mile End","Bethnal Green","Red","Tube"
"Central","Newbury Park","Barkingside","Red","Tube"
"Central","North Acton","Hanger Lane","Red","Tube"
"Central","North Acton","West Acton","Red","Tube"
"Central","Northolt","South Ruislip","Red","Tube"
"Central","Notting Hill Gate","Holland Park","Red","Tube"
"Central","Oxford Circus","Bond Street","Red","Tube"
"Central","Perivale","Greenford","Red","Tube"
"Central","Queensway","Notting Hill Gate","Red","Tube"
"Central","Redbridge","Gants Hill","Red","Tube"
"Central","Ruislip Gardens","West Ruislip","Red","Tube"
"Central","Shepherds Bush","White City","Red","Tube"
"Central","Snaresbrook","Leytonstone","Red","Tube"
"Central","South Ruislip","Ruislip Gardens","Red","Tube"
"Central","South Woodford","Snaresbrook","Red","Tube"
"Central","St. Pauls","Chancery Lane","Red","Tube"
"Central","Stratford","Mile End","Red","Tube"
"Central","Theydon Bois","Debden","Red","Tube"
"Central","Tottenham Court Road","Oxford Circus","Red","Tube"
"Central","Wanstead","Redbridge","Red","Tube"
"Central","West Acton","Ealing Broadway","Red","Tube"
"Central","White City","East Acton","Red","Tube"
"Central","Woodford","South Woodford","Red","Tube"
"Chiltern Railways","Chalfont and Latimer","Amersham","Turquoise","Train"
"Chiltern Railways","Chorleywood","Chalfont and Latimer","Turquoise","Train"
"Chiltern Railways","Harrow-on-the-Hill","Rickmansworth","Turquoise","Train"
"Chiltern Railways","Marylebone","Harrow-on-the-Hill","Turquoise","Train"
"Chiltern Railways","Marylebone","Wembley Stadium","Turquoise","Train"
"Chiltern Railways","Northolt Park","South Ruislip","Turquoise","Train"
"Chiltern Railways","Paddington","South Ruislip","Turquoise","Train"
"Chiltern Railways","Rickmansworth","Chorleywood","Turquoise","Train"
