graph,method,metric,value,timestamp,database,subset,min_cov_ignored,run_id
$S_\text{Ts-1}$,denormalized,$\mu_1$: NodeCount,194179.0,2026-04-28 19:31:30.705135552,neo4j,all,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Ts-1}$,denormalized,$\mu_2$: EdgeCount,1826601.0,2026-04-28 19:31:30.705135552,neo4j,all,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Ts-1}$,denormalized,$\mu_3$: AvgNodePropCount,6.983252565931562,2026-04-28 19:31:30.705135552,neo4j,all,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Ts-1}$,denormalized,$\mu_4$: AvgEdgePropCount,3.7878387233993314,2026-04-28 19:31:30.705135552,neo4j,all,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Ts-1}$,all,$\mu_1$: NodeCount,3845579.0,2026-04-28 19:33:48.740958618,neo4j,all,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Ts-1}$,all,$\mu_2$: EdgeCount,5286216.0,2026-04-28 19:33:48.740958618,neo4j,all,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Ts-1}$,all,$\mu_3$: AvgNodePropCount,2.099875207348442,2026-04-28 19:33:48.740958618,neo4j,all,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Ts-1}$,all,$\mu_4$: AvgEdgePropCount,0.0,2026-04-28 19:33:48.740958618,neo4j,all,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Ts-1}$,denormalized,$\mu_1$: NodeCount,194179.0,2026-04-28 19:34:49.320702347,neo4j,node-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Ts-1}$,denormalized,$\mu_2$: EdgeCount,1826601.0,2026-04-28 19:34:49.320702347,neo4j,node-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Ts-1}$,denormalized,$\mu_3$: AvgNodePropCount,6.983252565931562,2026-04-28 19:34:49.320702347,neo4j,node-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Ts-1}$,denormalized,$\mu_4$: AvgEdgePropCount,3.7878387233993314,2026-04-28 19:34:49.320702347,neo4j,node-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Ts-1}$,node-left,$\mu_1$: NodeCount,579979.0,2026-04-28 19:35:32.665908629,neo4j,node-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Ts-1}$,node-left,$\mu_2$: EdgeCount,2214417.0,2026-04-28 19:35:32.665908629,neo4j,node-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
