graph,database,method,dependency,m5_max_inc_count,m6_avg_inc_count,m7_minimality,m7_minimality_no_clusters,m7_minimality_no_matches
$S_\text{Ts-1}$,Neo4J,denormalized,(gcged)-[t:STOPS_AT:code]->(s:Station:name)::s.name\determ t.code,40675,3370.112546125461,0.0002961786926530165,542,1826601
$S_\text{Ts-1}$,Neo4J,denormalized,"(x:TrainService:date&number&operator)-[gffdg:STOPS_AT]->(dggaa)::x.number,x.date\determ x.operator",61,9.482481869293036,0.10545713347202453,192629,1826601
$S_\text{Ts-1}$,Neo4J,denormalized,"(bbeea)-[s:STOPS_AT:departure&stopid]->(st)::s.departure,s.stopid\determ st",1,1.0,1.0,1826601,1826601
$S_\text{Ts-1}$,Neo4J,denormalized,(x:TrainService:serviceid)::x.serviceid\determ x,1,1.0,1.0,193637,193637
$S_\text{Ts-1}$,Neo4J,denormalized,(aaggf)-[s:STOPS_AT:stopid]->(bdgce)::s.stopid\determ s,1,1.0,1.0,1826601,1826601
$S_\text{Ts-1}$,Neo4J,denormalized,"(ts:TrainService:date&number&type)::ts.number,ts.date\determ ts.type",3,1.005232856942624,0.9947943564213266,192629,193637
$S_\text{Ts-1}$,Neo4J,all,"(x9:Tsdatetsnumbertstype:Tsdate&Tstype&Tsnumber)::x9.Tsdate,x9.Tsnumber\determ x9",1,1.0,1.0,192629,192629
$S_\text{Ts-1}$,Neo4J,all,(x7:Snametcode:Tcode&Sname)::x7.Sname\determ x7,1,1.0,1.0,542,542
$S_\text{Ts-1}$,Neo4J,all,(x4:Tstopid:S&Tstopid)::x4.Tstopid\determ x4,1,1.0,1.0,1632800,1632800
$S_\text{Ts-1}$,Neo4J,all,"(x1:Tsdatetsnumbertsoperator:Tsoperator&Tsdate&Tsnumber)::x1.Tsdate,x1.Tsnumber\determ x1",1,1.0,1.0,192629,192629
$S_\text{Ts-1}$,Neo4J,denormalized,"(gafaf)-[s:STOPS_AT:departure&stopid]->(st)::s.stopid,s.departure\determ st",1,1.0,1.0,1826601,1826601
$S_\text{Ts-1}$,Neo4J,denormalized,(x:TrainService:serviceid)::x.serviceid\determ x,1,1.0,1.0,193637,193637
