scenario,queryNo,query,state,mode,database,time,dbhits,memory
S_Lon,1,"PROFILE MATCH (c:Ccolorclinectype) RETURN DISTINCT c.Cline, c.Ccolor",after,retrieval,memgraph,0.4659980000000001,2736,
S_Lon,1,"PROFILE MATCH  ()-[]-(d:CONNECTED_THROUGH)-[]-(), (d)-[]-(c:Ccolorclinectype) RETURN DISTINCT c.Cline, c.Ccolor",after,retrieval,memgraph,10.921433999999998,35898,
S_Lon,2,"PROFILE MATCH (s:Station)-[]-(:CONNECTED_THROUGH)-[:CCOLORCLINECTYPE]-(c:Ccolorclinectype) WHERE s.name = ""Piccadilly Circus"" RETURN DISTINCT c.Cline",after,retrieval,memgraph,0.683644,2709,
S_Lon,3,"PROFILE MATCH (s:SzoneszoneOriginal) WHERE s.SzoneOriginal IS NOT NULL RETURN DISTINCT s.Szone, s.SzoneOriginal",after,retrieval,memgraph,0.105187,50,
S_Lon,3,"PROFILE MATCH (s:Station)-[]-(s:SzoneszoneOriginal) WHERE s.SzoneOriginal IS NOT NULL RETURN DISTINCT s.Szone, s.SzoneOriginal",after,retrieval,memgraph,0.032499,22,
S_Lon,4,"PROFILE MATCH (s:Station)-[]-(c:CONNECTED_THROUGH)-[]-(:Station), (s)-[]-(z:SzoneszoneOriginal), (c)-[]-(d:Ccolorclinectype) WHERE z.Szone = ""6"" RETURN DISTINCT d.Cline",after,retrieval,memgraph,13.91765,88164,
S_Lon,5,"PROFILE MATCH (s:Station)-[]->(c:CONNECTED_THROUGH)-[]->(t:Station), (c)-[]-(d:Ccolorclinectype) WHERE s.name = ""Piccadilly Circus"" and d.Cline =""Bakerloo"" RETURN t.name",after,retrieval,memgraph,0.115233,217,
S_Lon,1,"PROFILE MATCH (c:Ccolorclinectype) WHERE c.Cline = ""Bakerloo"" SET c.Ccolor = ""Rainbow""",after,update,memgraph,0.09452100000000001,7,
S_Lon,1,"PROFILE MATCH (:CONNECTED_THROUGH)-->(c:Ccolorclinectype) WHERE c.Cline = ""Bakerloo"" SET c.Ccolor = ""Rainbow""",after,update,memgraph,0.11675500000000001,152,
S_Lon,1,"PROFILE MATCH (:CONNECTED_THROUGH)-->(c:Ccolorclinectype) WHERE c.Cline = ""Bakerloo"" WITH DISTINCT c SET c.Ccolor = ""Rainbow""",after,update,memgraph,0.16296499999999997,156,
S_Lon,1,"PROFILE MATCH (c:Ccolorclinectype) RETURN DISTINCT c.Cline, c.Ccolor",after,retrieval,memgraph,0.512157,2736,
S_Lon,1,"PROFILE MATCH  ()-[]-(d:CONNECTED_THROUGH)-[]-(), (d)-[]-(c:Ccolorclinectype) RETURN DISTINCT c.Cline, c.Ccolor",after,retrieval,memgraph,10.792302,35898,
S_Lon,2,"PROFILE MATCH (s:Station)-[]-(:CONNECTED_THROUGH)-[:CCOLORCLINECTYPE]-(c:Ccolorclinectype) WHERE s.name = ""Piccadilly Circus"" RETURN DISTINCT c.Cline",after,retrieval,memgraph,0.6471499999999999,2709,
S_Lon,3,"PROFILE MATCH (s:SzoneszoneOriginal) WHERE s.SzoneOriginal IS NOT NULL RETURN DISTINCT s.Szone, s.SzoneOriginal",after,retrieval,memgraph,0.10056,50,
S_Lon,3,"PROFILE MATCH (s:Station)-[]-(s:SzoneszoneOriginal) WHERE s.SzoneOriginal IS NOT NULL RETURN DISTINCT s.Szone, s.SzoneOriginal",after,retrieval,memgraph,0.042762999999999995,22,
S_Lon,4,"PROFILE MATCH (s:Station)-[]-(c:CONNECTED_THROUGH)-[]-(:Station), (s)-[]-(z:SzoneszoneOriginal), (c)-[]-(d:Ccolorclinectype) WHERE z.Szone = ""6"" RETURN DISTINCT d.Cline",after,retrieval,memgraph,13.778503999999998,88164,
S_Lon,5,"PROFILE MATCH (s:Station)-[]->(c:CONNECTED_THROUGH)-[]->(t:Station), (c)-[]-(d:Ccolorclinectype) WHERE s.name = ""Piccadilly Circus"" and d.Cline =""Bakerloo"" RETURN t.name",after,retrieval,memgraph,0.13052500000000003,217,
S_Lon,1,"PROFILE MATCH (c:Ccolorclinectype) WHERE c.Cline = ""Bakerloo"" SET c.Ccolor = ""Rainbow""",after,update,memgraph,0.082975,7,
S_Lon,1,"PROFILE MATCH (:CONNECTED_THROUGH)-->(c:Ccolorclinectype) WHERE c.Cline = ""Bakerloo"" SET c.Ccolor = ""Rainbow""",after,update,memgraph,0.13114599999999998,152,
S_Lon,1,"PROFILE MATCH (:CONNECTED_THROUGH)-->(c:Ccolorclinectype) WHERE c.Cline = ""Bakerloo"" WITH DISTINCT c SET c.Ccolor = ""Rainbow""",after,update,memgraph,0.150755,156,
S_Lon,1,"PROFILE MATCH (c:Ccolorclinectype) RETURN DISTINCT c.Cline, c.Ccolor",after,retrieval,memgraph,0.498446,2736,
S_Lon,1,"PROFILE MATCH  ()-[]-(d:CONNECTED_THROUGH)-[]-(), (d)-[]-(c:Ccolorclinectype) RETURN DISTINCT c.Cline, c.Ccolor",after,retrieval,memgraph,10.813573,35898,
S_Lon,2,"PROFILE MATCH (s:Station)-[]-(:CONNECTED_THROUGH)-[:CCOLORCLINECTYPE]-(c:Ccolorclinectype) WHERE s.name = ""Piccadilly Circus"" RETURN DISTINCT c.Cline",after,retrieval,memgraph,0.7136070000000001,2709,
S_Lon,3,"PROFILE MATCH (s:SzoneszoneOriginal) WHERE s.SzoneOriginal IS NOT NULL RETURN DISTINCT s.Szone, s.SzoneOriginal",after,retrieval,memgraph,0.101593,50,
S_Lon,3,"PROFILE MATCH (s:Station)-[]-(s:SzoneszoneOriginal) WHERE s.SzoneOriginal IS NOT NULL RETURN DISTINCT s.Szone, s.SzoneOriginal",after,retrieval,memgraph,0.029072,22,
S_Lon,4,"PROFILE MATCH (s:Station)-[]-(c:CONNECTED_THROUGH)-[]-(:Station), (s)-[]-(z:SzoneszoneOriginal), (c)-[]-(d:Ccolorclinectype) WHERE z.Szone = ""6"" RETURN DISTINCT d.Cline",after,retrieval,memgraph,13.848669999999998,88164,
S_Lon,5,"PROFILE MATCH (s:Station)-[]->(c:CONNECTED_THROUGH)-[]->(t:Station), (c)-[]-(d:Ccolorclinectype) WHERE s.name = ""Piccadilly Circus"" and d.Cline =""Bakerloo"" RETURN t.name",after,retrieval,memgraph,0.122933,217,
S_Lon,1,"PROFILE MATCH (c:Ccolorclinectype) WHERE c.Cline = ""Bakerloo"" SET c.Ccolor = ""Rainbow""",after,update,memgraph,0.081362,7,
S_Lon,1,"PROFILE MATCH (:CONNECTED_THROUGH)-->(c:Ccolorclinectype) WHERE c.Cline = ""Bakerloo"" SET c.Ccolor = ""Rainbow""",after,update,memgraph,0.117155,152,
S_Lon,1,"PROFILE MATCH (:CONNECTED_THROUGH)-->(c:Ccolorclinectype) WHERE c.Cline = ""Bakerloo"" WITH DISTINCT c SET c.Ccolor = ""Rainbow""",after,update,memgraph,0.12350500000000002,156,
S_Lon,1,"PROFILE MATCH (c:Ccolorclinectype) RETURN DISTINCT c.Cline, c.Ccolor",after,retrieval,memgraph,0.497266,2736,
S_Lon,1,"PROFILE MATCH  ()-[]-(d:CONNECTED_THROUGH)-[]-(), (d)-[]-(c:Ccolorclinectype) RETURN DISTINCT c.Cline, c.Ccolor",after,retrieval,memgraph,10.712549999999998,35898,
S_Lon,2,"PROFILE MATCH (s:Station)-[]-(:CONNECTED_THROUGH)-[:CCOLORCLINECTYPE]-(c:Ccolorclinectype) WHERE s.name = ""Piccadilly Circus"" RETURN DISTINCT c.Cline",after,retrieval,memgraph,0.66121,2709,
S_Lon,3,"PROFILE MATCH (s:SzoneszoneOriginal) WHERE s.SzoneOriginal IS NOT NULL RETURN DISTINCT s.Szone, s.SzoneOriginal",after,retrieval,memgraph,0.103925,50,
S_Lon,3,"PROFILE MATCH (s:Station)-[]-(s:SzoneszoneOriginal) WHERE s.SzoneOriginal IS NOT NULL RETURN DISTINCT s.Szone, s.SzoneOriginal",after,retrieval,memgraph,0.030975999999999997,22,
S_Lon,4,"PROFILE MATCH (s:Station)-[]-(c:CONNECTED_THROUGH)-[]-(:Station), (s)-[]-(z:SzoneszoneOriginal), (c)-[]-(d:Ccolorclinectype) WHERE z.Szone = ""6"" RETURN DISTINCT d.Cline",after,retrieval,memgraph,13.953552,88164,
S_Lon,5,"PROFILE MATCH (s:Station)-[]->(c:CONNECTED_THROUGH)-[]->(t:Station), (c)-[]-(d:Ccolorclinectype) WHERE s.name = ""Piccadilly Circus"" and d.Cline =""Bakerloo"" RETURN t.name",after,retrieval,memgraph,0.135844,217,
S_Lon,1,"PROFILE MATCH (c:Ccolorclinectype) WHERE c.Cline = ""Bakerloo"" SET c.Ccolor = ""Rainbow""",after,update,memgraph,0.111338,7,
S_Lon,1,"PROFILE MATCH (:CONNECTED_THROUGH)-->(c:Ccolorclinectype) WHERE c.Cline = ""Bakerloo"" SET c.Ccolor = ""Rainbow""",after,update,memgraph,0.11341,152,
S_Lon,1,"PROFILE MATCH (:CONNECTED_THROUGH)-->(c:Ccolorclinectype) WHERE c.Cline = ""Bakerloo"" WITH DISTINCT c SET c.Ccolor = ""Rainbow""",after,update,memgraph,0.124336,156,
S_Lon,1,"PROFILE MATCH (c:Ccolorclinectype) RETURN DISTINCT c.Cline, c.Ccolor",after,retrieval,memgraph,0.421051,2736,
