scenario,queryNo,query,state,mode,database,time,dbhits,memory
S_Lon,1,"PROFILE MATCH ()-[c:CONNECTED_THROUGH]->() RETURN DISTINCT c.line, c.color",before,retrieval,memgraph,1.945443,4589,
S_Lon,2,"PROFILE MATCH (s:Station)-[c:CONNECTED_THROUGH]-() WHERE s.name = ""Piccadilly Circus"" RETURN DISTINCT c.line",before,retrieval,memgraph,0.350525,677,
S_Lon,3,"PROFILE MATCH (s:Station) WHERE s.zoneOriginal IS NOT NULL RETURN DISTINCT s.zone, s.zoneOriginal",before,retrieval,memgraph,0.903002,1964,
S_Lon,4,"PROFILE MATCH (s:Station)-[c:CONNECTED_THROUGH]-(:Station) WHERE s.zone = ""6"" RETURN DISTINCT c.line",before,retrieval,memgraph,0.752566,1824,
S_Lon,5,"PROFILE MATCH (s:Station)-[c:CONNECTED_THROUGH]->(t:Station) WHERE s.name = ""Piccadilly Circus"" AND c.line = ""Bakerloo"" RETURN DISTINCT s.name, t.name",before,retrieval,memgraph,0.202473,670,
S_Lon,1,"PROFILE MATCH ()-[c:CONNECTED_THROUGH]->() WHERE c.line = ""Bakerloo"" SET c.color = ""Rainbow""",before,update,memgraph,0.8428640000000001,2706,
S_Lon,1,"PROFILE MATCH ()-[c:CONNECTED_THROUGH]->() RETURN DISTINCT c.line, c.color",before,retrieval,memgraph,2.753693,4589,
S_Lon,2,"PROFILE MATCH (s:Station)-[c:CONNECTED_THROUGH]-() WHERE s.name = ""Piccadilly Circus"" RETURN DISTINCT c.line",before,retrieval,memgraph,0.335172,677,
S_Lon,3,"PROFILE MATCH (s:Station) WHERE s.zoneOriginal IS NOT NULL RETURN DISTINCT s.zone, s.zoneOriginal",before,retrieval,memgraph,0.8951009999999999,1964,
S_Lon,4,"PROFILE MATCH (s:Station)-[c:CONNECTED_THROUGH]-(:Station) WHERE s.zone = ""6"" RETURN DISTINCT c.line",before,retrieval,memgraph,0.496784,1824,
