scenario,queryNo,query,state,mode,database,time,dbhits,memory
S_Lon,1,"PROFILE MATCH (c:Ccolorclinectype) RETURN DISTINCT c.Cline, c.Ccolor",after,retrieval,neo4j,0.731546,113,5776
S_Lon,1,"PROFILE MATCH  ()-[]-(d:CONNECTED_THROUGH)-[]-(), (d)-[]-(c:Ccolorclinectype) RETURN DISTINCT c.Cline, c.Ccolor",after,retrieval,neo4j,25.607186,25517,5800
S_Lon,2,"PROFILE MATCH (s:Station)-[]-(:CONNECTED_THROUGH)-[:CCOLORCLINECTYPE]-(c:Ccolorclinectype) WHERE s.name = ""Piccadilly Circus"" RETURN DISTINCT c.Cline",after,retrieval,neo4j,0.704495,2030,552
S_Lon,3,"PROFILE MATCH (s:SzoneszoneOriginal) WHERE s.SzoneOriginal IS NOT NULL RETURN DISTINCT s.Szone, s.SzoneOriginal",after,retrieval,neo4j,0.756703,46,480
S_Lon,3,"PROFILE MATCH (s:Station)-[]-(s:SzoneszoneOriginal) WHERE s.SzoneOriginal IS NOT NULL RETURN DISTINCT s.Szone, s.SzoneOriginal",after,retrieval,neo4j,0.432117,46,328
S_Lon,4,"PROFILE MATCH (s:Station)-[]-(c:CONNECTED_THROUGH)-[]-(:Station), (s)-[]-(z:SzoneszoneOriginal), (c)-[]-(d:Ccolorclinectype) WHERE z.Szone = ""6"" RETURN DISTINCT d.Cline",after,retrieval,neo4j,2.356939,6857,1800
S_Lon,5,"PROFILE MATCH (s:Station)-[]->(c:CONNECTED_THROUGH)-[]->(t:Station), (c)-[]-(d:Ccolorclinectype) WHERE s.name = ""Piccadilly Circus"" and d.Cline =""Bakerloo"" RETURN t.name",after,retrieval,neo4j,0.558336,355,336
S_Lon,1,"PROFILE MATCH (c:Ccolorclinectype) WHERE c.Cline = ""Bakerloo"" SET c.Ccolor = ""Rainbow""",after,update,neo4j,0.65434,4,312
S_Lon,1,"PROFILE MATCH (:CONNECTED_THROUGH)-->(c:Ccolorclinectype) WHERE c.Cline = ""Bakerloo"" SET c.Ccolor = ""Rainbow""",after,update,neo4j,0.455432,243,328
S_Lon,1,"PROFILE MATCH (:CONNECTED_THROUGH)-->(c:Ccolorclinectype) WHERE c.Cline = ""Bakerloo"" WITH DISTINCT c SET c.Ccolor = ""Rainbow""",after,update,neo4j,0.367179,149,560
S_Lon,1,"PROFILE MATCH (c:Ccolorclinectype) RETURN DISTINCT c.Cline, c.Ccolor",after,retrieval,neo4j,0.352908,113,5776
S_Lon,1,"PROFILE MATCH  ()-[]-(d:CONNECTED_THROUGH)-[]-(), (d)-[]-(c:Ccolorclinectype) RETURN DISTINCT c.Cline, c.Ccolor",after,retrieval,neo4j,7.941722,25517,5800
S_Lon,2,"PROFILE MATCH (s:Station)-[]-(:CONNECTED_THROUGH)-[:CCOLORCLINECTYPE]-(c:Ccolorclinectype) WHERE s.name = ""Piccadilly Circus"" RETURN DISTINCT c.Cline",after,retrieval,neo4j,0.575111,2030,552
S_Lon,3,"PROFILE MATCH (s:SzoneszoneOriginal) WHERE s.SzoneOriginal IS NOT NULL RETURN DISTINCT s.Szone, s.SzoneOriginal",after,retrieval,neo4j,0.297345,46,480
S_Lon,3,"PROFILE MATCH (s:Station)-[]-(s:SzoneszoneOriginal) WHERE s.SzoneOriginal IS NOT NULL RETURN DISTINCT s.Szone, s.SzoneOriginal",after,retrieval,neo4j,0.199989,46,328
