scenario,queryNo,query,state,mode,database,time,dbhits,memory
S_Nw,1,"PROFILE MATCH (o:Order) RETURN DISTINCT o.orderID, o.customerID",before,retrieval,memgraph,1.9840510000000002,3531,
S_Nw,2,PROFILE MATCH (o:Order) WHERE o.customerID IS NOT NULL AND o.shipCity IS NOT NULL AND o.shipPostalCode IS NOT NULL AND o.shipCountry IS NOT NULL AND o.shipAddress IS NOT NULL AND o.shipRegion IS NOT NULL RETURN DISTINCT o.customerID,before,retrieval,memgraph,2.5141940000000003,2790,
S_Nw,1,"PROFILE MATCH (o:Order) WHERE o.customerID = ""FOLKO"" SET o.shipCountry = ""Rainbow""",before,update,memgraph,0.464556,1079,
S_Nw,1,"PROFILE MATCH (o:Order) RETURN DISTINCT o.orderID, o.customerID",before,retrieval,memgraph,2.8401539999999996,3531,
S_Nw,2,PROFILE MATCH (o:Order) WHERE o.customerID IS NOT NULL AND o.shipCity IS NOT NULL AND o.shipPostalCode IS NOT NULL AND o.shipCountry IS NOT NULL AND o.shipAddress IS NOT NULL AND o.shipRegion IS NOT NULL RETURN DISTINCT o.customerID,before,retrieval,memgraph,0.875932,2790,
S_Nw,1,"PROFILE MATCH (o:Order) WHERE o.customerID = ""FOLKO"" SET o.shipCountry = ""Rainbow""",before,update,memgraph,0.19832699999999998,1079,
S_Nw,1,"PROFILE MATCH (o:Order) RETURN DISTINCT o.orderID, o.customerID",before,retrieval,memgraph,1.062792,3531,
S_Nw,2,PROFILE MATCH (o:Order) WHERE o.customerID IS NOT NULL AND o.shipCity IS NOT NULL AND o.shipPostalCode IS NOT NULL AND o.shipCountry IS NOT NULL AND o.shipAddress IS NOT NULL AND o.shipRegion IS NOT NULL RETURN DISTINCT o.customerID,before,retrieval,memgraph,1.750201,2790,
S_Nw,1,"PROFILE MATCH (o:Order) WHERE o.customerID = ""FOLKO"" SET o.shipCountry = ""Rainbow""",before,update,memgraph,0.21026499999999998,1079,
S_Nw,1,"PROFILE MATCH (o:Order) RETURN DISTINCT o.orderID, o.customerID",before,retrieval,memgraph,1.080969,3531,
S_Nw,2,PROFILE MATCH (o:Order) WHERE o.customerID IS NOT NULL AND o.shipCity IS NOT NULL AND o.shipPostalCode IS NOT NULL AND o.shipCountry IS NOT NULL AND o.shipAddress IS NOT NULL AND o.shipRegion IS NOT NULL RETURN DISTINCT o.customerID,before,retrieval,memgraph,2.2403850000000003,2790,
S_Nw,1,"PROFILE MATCH (o:Order) WHERE o.customerID = ""FOLKO"" SET o.shipCountry = ""Rainbow""",before,update,memgraph,0.332607,1079,
S_Nw,1,"PROFILE MATCH (o:Order) RETURN DISTINCT o.orderID, o.customerID",before,retrieval,memgraph,1.0672879999999998,3531,
S_Nw,2,PROFILE MATCH (o:Order) WHERE o.customerID IS NOT NULL AND o.shipCity IS NOT NULL AND o.shipPostalCode IS NOT NULL AND o.shipCountry IS NOT NULL AND o.shipAddress IS NOT NULL AND o.shipRegion IS NOT NULL RETURN DISTINCT o.customerID,before,retrieval,memgraph,0.948451,2790,
S_Nw,1,"PROFILE MATCH (o:Order) WHERE o.customerID = ""FOLKO"" SET o.shipCountry = ""Rainbow""",before,update,memgraph,0.30549699999999996,1079,
S_Nw,1,"PROFILE MATCH (o:Order) RETURN DISTINCT o.orderID, o.customerID",before,retrieval,memgraph,1.081058,3531,
