scenario,queryNo,query,state,mode,database,time,dbhits,memory
S_Off-1,1,"PROFILE MATCH (c:EcountriesecountryCodes) WHERE c.Ecountries IS NOT NULL AND c.EcountryCodes IS NOT NULL RETURN DISTINCT c.Ecountries, c.EcountryCodes",after,retrieval,memgraph,1.312385,3438,
S_Off-1,1,"PROFILE MATCH (:Entity)-[]->(c:EcountriesecountryCodes) WHERE c.Ecountries IS NOT NULL AND c.EcountryCodes IS NOT NULL RETURN DISTINCT c.Ecountries, c.EcountryCodes",after,retrieval,memgraph,170.08653700000002,1030373,
S_Off-1,2,"PROFILE MATCH (e:Entity)-[]-(c:EcountriesecountryCodes) WHERE c.Ecountries IS NOT NULL AND c.EcountryCodes IS NOT NULL RETURN DISTINCT c.Ecountries, c.EcountryCodes, e.service_provider",after,retrieval,memgraph,274.98294899999996,1030567,
S_Off-1,1,"PROFILE MATCH (c:EcountriesecountryCodes) WHERE c.Ecountries IS NOT NULL AND c.EcountryCodes IS NOT NULL AND c.Ecountries = ""Singapore"" SET c.EcountryCodes = ""Sp""",after,update,memgraph,0.6520469999999999,866,
S_Off-1,1,"PROFILE MATCH (:Entity)-[]->(c:EcountriesecountryCodes) WHERE c.Ecountries IS NOT NULL AND c.EcountryCodes IS NOT NULL AND c.Ecountries = ""Singapore"" SET c.EcountryCodes = ""Sp""",after,update,memgraph,4.292809,15306,
S_Off-1,1,"PROFILE MATCH (:Entity)-[]->(c:EcountriesecountryCodes) WHERE c.Ecountries IS NOT NULL AND c.EcountryCodes IS NOT NULL AND c.Ecountries = ""Singapore"" WITH DISTINCT c SET c.EcountryCodes = ""Sp""",after,update,memgraph,3.090868,15310,
S_Off-1,1,"PROFILE MATCH (c:EcountriesecountryCodes) WHERE c.Ecountries IS NOT NULL AND c.EcountryCodes IS NOT NULL RETURN DISTINCT c.Ecountries, c.EcountryCodes",after,retrieval,memgraph,0.9622,3438,
S_Off-1,1,"PROFILE MATCH (:Entity)-[]->(c:EcountriesecountryCodes) WHERE c.Ecountries IS NOT NULL AND c.EcountryCodes IS NOT NULL RETURN DISTINCT c.Ecountries, c.EcountryCodes",after,retrieval,memgraph,168.20961499999999,1030373,
S_Off-1,2,"PROFILE MATCH (e:Entity)-[]-(c:EcountriesecountryCodes) WHERE c.Ecountries IS NOT NULL AND c.EcountryCodes IS NOT NULL RETURN DISTINCT c.Ecountries, c.EcountryCodes, e.service_provider",after,retrieval,memgraph,274.26355400000006,1030567,
S_Off-1,1,"PROFILE MATCH (c:EcountriesecountryCodes) WHERE c.Ecountries IS NOT NULL AND c.EcountryCodes IS NOT NULL AND c.Ecountries = ""Singapore"" SET c.EcountryCodes = ""Sp""",after,update,memgraph,1.1610779999999998,866,
S_Off-1,1,"PROFILE MATCH (:Entity)-[]->(c:EcountriesecountryCodes) WHERE c.Ecountries IS NOT NULL AND c.EcountryCodes IS NOT NULL AND c.Ecountries = ""Singapore"" SET c.EcountryCodes = ""Sp""",after,update,memgraph,3.6590000000000007,15306,
S_Off-1,1,"PROFILE MATCH (:Entity)-[]->(c:EcountriesecountryCodes) WHERE c.Ecountries IS NOT NULL AND c.EcountryCodes IS NOT NULL AND c.Ecountries = ""Singapore"" WITH DISTINCT c SET c.EcountryCodes = ""Sp""",after,update,memgraph,2.026336,15310,
S_Off-1,1,"PROFILE MATCH (c:EcountriesecountryCodes) WHERE c.Ecountries IS NOT NULL AND c.EcountryCodes IS NOT NULL RETURN DISTINCT c.Ecountries, c.EcountryCodes",after,retrieval,memgraph,1.9651629999999998,3438,
S_Off-1,1,"PROFILE MATCH (:Entity)-[]->(c:EcountriesecountryCodes) WHERE c.Ecountries IS NOT NULL AND c.EcountryCodes IS NOT NULL RETURN DISTINCT c.Ecountries, c.EcountryCodes",after,retrieval,memgraph,170.58424300000001,1030373,
S_Off-1,2,"PROFILE MATCH (e:Entity)-[]-(c:EcountriesecountryCodes) WHERE c.Ecountries IS NOT NULL AND c.EcountryCodes IS NOT NULL RETURN DISTINCT c.Ecountries, c.EcountryCodes, e.service_provider",after,retrieval,memgraph,273.38683,1030567,
S_Off-1,1,"PROFILE MATCH (c:EcountriesecountryCodes) WHERE c.Ecountries IS NOT NULL AND c.EcountryCodes IS NOT NULL AND c.Ecountries = ""Singapore"" SET c.EcountryCodes = ""Sp""",after,update,memgraph,0.630564,866,
