scenario,queryNo,query,state,mode,database,time,dbhits,memory
S_Off-1,1,"PROFILE MATCH (e:Entity) WHERE e.countries IS NOT NULL AND e.jurisdiction_description IS NOT NULL AND e.country_codes IS NOT NULL RETURN DISTINCT e.countries, e.country_codes",before,retrieval,memgraph,918.7288950000001,3027613,
S_Off-1,2,"PROFILE MATCH (e:Entity) WHERE e.countries IS NOT NULL AND e.service_provider IS NOT NULL AND e.country_codes IS NOT NULL RETURN DISTINCT e.countries,e.service_provider, e.country_codes",before,retrieval,memgraph,790.8473670000001,2702775,
S_Off-1,1,"PROFILE MATCH (e:Entity) WHERE e.countries IS NOT NULL AND e.jurisdiction_description IS NOT NULL AND e.country_codes IS NOT NULL AND e.countries = ""Singapore"" SET e.country_codes = ""Sp""",before,update,memgraph,328.104541,2026155,
S_Off-1,1,"PROFILE MATCH (e:Entity) WHERE e.countries IS NOT NULL AND e.jurisdiction_description IS NOT NULL AND e.country_codes IS NOT NULL RETURN DISTINCT e.countries, e.country_codes",before,retrieval,memgraph,926.6170589999999,3027613,
S_Off-1,2,"PROFILE MATCH (e:Entity) WHERE e.countries IS NOT NULL AND e.service_provider IS NOT NULL AND e.country_codes IS NOT NULL RETURN DISTINCT e.countries,e.service_provider, e.country_codes",before,retrieval,memgraph,805.730247,2702775,
S_Off-1,1,"PROFILE MATCH (e:Entity) WHERE e.countries IS NOT NULL AND e.jurisdiction_description IS NOT NULL AND e.country_codes IS NOT NULL AND e.countries = ""Singapore"" SET e.country_codes = ""Sp""",before,update,memgraph,338.966218,2026155,
S_Off-1,1,"PROFILE MATCH (e:Entity) WHERE e.countries IS NOT NULL AND e.jurisdiction_description IS NOT NULL AND e.country_codes IS NOT NULL RETURN DISTINCT e.countries, e.country_codes",before,retrieval,memgraph,924.324396,3027613,
S_Off-1,2,"PROFILE MATCH (e:Entity) WHERE e.countries IS NOT NULL AND e.service_provider IS NOT NULL AND e.country_codes IS NOT NULL RETURN DISTINCT e.countries,e.service_provider, e.country_codes",before,retrieval,memgraph,805.64486,2702775,
S_Off-1,1,"PROFILE MATCH (e:Entity) WHERE e.countries IS NOT NULL AND e.jurisdiction_description IS NOT NULL AND e.country_codes IS NOT NULL AND e.countries = ""Singapore"" SET e.country_codes = ""Sp""",before,update,memgraph,348.276612,2026155,
S_Off-1,1,"PROFILE MATCH (e:Entity) WHERE e.countries IS NOT NULL AND e.jurisdiction_description IS NOT NULL AND e.country_codes IS NOT NULL RETURN DISTINCT e.countries, e.country_codes",before,retrieval,memgraph,918.637297,3027613,
S_Off-1,2,"PROFILE MATCH (e:Entity) WHERE e.countries IS NOT NULL AND e.service_provider IS NOT NULL AND e.country_codes IS NOT NULL RETURN DISTINCT e.countries,e.service_provider, e.country_codes",before,retrieval,memgraph,812.258035,2702775,
S_Off-1,1,"PROFILE MATCH (e:Entity) WHERE e.countries IS NOT NULL AND e.jurisdiction_description IS NOT NULL AND e.country_codes IS NOT NULL AND e.countries = ""Singapore"" SET e.country_codes = ""Sp""",before,update,memgraph,332.02311000000003,2026155,
S_Off-1,1,"PROFILE MATCH (e:Entity) WHERE e.countries IS NOT NULL AND e.jurisdiction_description IS NOT NULL AND e.country_codes IS NOT NULL RETURN DISTINCT e.countries, e.country_codes",before,retrieval,memgraph,931.7675240000001,3027613,
S_Off-1,2,"PROFILE MATCH (e:Entity) WHERE e.countries IS NOT NULL AND e.service_provider IS NOT NULL AND e.country_codes IS NOT NULL RETURN DISTINCT e.countries,e.service_provider, e.country_codes",before,retrieval,memgraph,800.526825,2702775,
S_Off-1,1,"PROFILE MATCH (e:Entity) WHERE e.countries IS NOT NULL AND e.jurisdiction_description IS NOT NULL AND e.country_codes IS NOT NULL AND e.countries = ""Singapore"" SET e.country_codes = ""Sp""",before,update,memgraph,333.274993,2026155,
S_Off-1,1,"PROFILE MATCH (e:Entity) WHERE e.countries IS NOT NULL AND e.jurisdiction_description IS NOT NULL AND e.country_codes IS NOT NULL RETURN DISTINCT e.countries, e.country_codes",before,retrieval,memgraph,920.475742,3027613,
S_Off-1,2,"PROFILE MATCH (e:Entity) WHERE e.countries IS NOT NULL AND e.service_provider IS NOT NULL AND e.country_codes IS NOT NULL RETURN DISTINCT e.countries,e.service_provider, e.country_codes",before,retrieval,memgraph,802.516914,2702775,
S_Off-1,1,"PROFILE MATCH (e:Entity) WHERE e.countries IS NOT NULL AND e.jurisdiction_description IS NOT NULL AND e.country_codes IS NOT NULL AND e.countries = ""Singapore"" SET e.country_codes = ""Sp""",before,update,memgraph,341.420543,2026155,
S_Off-1,1,"PROFILE MATCH (e:Entity) WHERE e.countries IS NOT NULL AND e.jurisdiction_description IS NOT NULL AND e.country_codes IS NOT NULL RETURN DISTINCT e.countries, e.country_codes",before,retrieval,memgraph,923.155765,3027613,
S_Off-1,2,"PROFILE MATCH (e:Entity) WHERE e.countries IS NOT NULL AND e.service_provider IS NOT NULL AND e.country_codes IS NOT NULL RETURN DISTINCT e.countries,e.service_provider, e.country_codes",before,retrieval,memgraph,800.2963389999999,2702775,
S_Off-1,1,"PROFILE MATCH (e:Entity) WHERE e.countries IS NOT NULL AND e.jurisdiction_description IS NOT NULL AND e.country_codes IS NOT NULL AND e.countries = ""Singapore"" SET e.country_codes = ""Sp""",before,update,memgraph,334.608722,2026155,
S_Off-1,1,"PROFILE MATCH (e:Entity) WHERE e.countries IS NOT NULL AND e.jurisdiction_description IS NOT NULL AND e.country_codes IS NOT NULL RETURN DISTINCT e.countries, e.country_codes",before,retrieval,memgraph,923.457467,3027613,
S_Off-1,2,"PROFILE MATCH (e:Entity) WHERE e.countries IS NOT NULL AND e.service_provider IS NOT NULL AND e.country_codes IS NOT NULL RETURN DISTINCT e.countries,e.service_provider, e.country_codes",before,retrieval,memgraph,801.251979,2702775,
S_Off-1,1,"PROFILE MATCH (e:Entity) WHERE e.countries IS NOT NULL AND e.jurisdiction_description IS NOT NULL AND e.country_codes IS NOT NULL AND e.countries = ""Singapore"" SET e.country_codes = ""Sp""",before,update,memgraph,332.309548,2026155,
S_Off-1,1,"PROFILE MATCH (e:Entity) WHERE e.countries IS NOT NULL AND e.jurisdiction_description IS NOT NULL AND e.country_codes IS NOT NULL RETURN DISTINCT e.countries, e.country_codes",before,retrieval,memgraph,922.352142,3027613,
S_Off-1,2,"PROFILE MATCH (e:Entity) WHERE e.countries IS NOT NULL AND e.service_provider IS NOT NULL AND e.country_codes IS NOT NULL RETURN DISTINCT e.countries,e.service_provider, e.country_codes",before,retrieval,memgraph,754.01764,2702775,
S_Off-1,1,"PROFILE MATCH (e:Entity) WHERE e.countries IS NOT NULL AND e.jurisdiction_description IS NOT NULL AND e.country_codes IS NOT NULL AND e.countries = ""Singapore"" SET e.country_codes = ""Sp""",before,update,memgraph,340.146285,2026155,
S_Off-1,1,"PROFILE MATCH (e:Entity) WHERE e.countries IS NOT NULL AND e.jurisdiction_description IS NOT NULL AND e.country_codes IS NOT NULL RETURN DISTINCT e.countries, e.country_codes",before,retrieval,memgraph,924.5863780000001,3027613,
S_Off-1,2,"PROFILE MATCH (e:Entity) WHERE e.countries IS NOT NULL AND e.service_provider IS NOT NULL AND e.country_codes IS NOT NULL RETURN DISTINCT e.countries,e.service_provider, e.country_codes",before,retrieval,memgraph,800.482779,2702775,
S_Off-1,1,"PROFILE MATCH (e:Entity) WHERE e.countries IS NOT NULL AND e.jurisdiction_description IS NOT NULL AND e.country_codes IS NOT NULL AND e.countries = ""Singapore"" SET e.country_codes = ""Sp""",before,update,memgraph,331.314097,2026155,
