scenario,queryNo,query,state,mode,database,time,dbhits,memory
S_Off-1,1,"PROFILE MATCH (c:EcountriesecountryCodes) WHERE c.Ecountries IS NOT NULL AND c.EcountryCodes IS NOT NULL RETURN DISTINCT c.Ecountries, c.EcountryCodes",after,retrieval,neo4j,4.308412,2575,544
S_Off-1,1,"PROFILE MATCH (:Entity)-[]->(c:EcountriesecountryCodes) WHERE c.Ecountries IS NOT NULL AND c.EcountryCodes IS NOT NULL RETURN DISTINCT c.Ecountries, c.EcountryCodes",after,retrieval,neo4j,108.344076,1031379,536
S_Off-1,2,"PROFILE MATCH (e:Entity)-[]-(c:EcountriesecountryCodes) WHERE c.Ecountries IS NOT NULL AND c.EcountryCodes IS NOT NULL RETURN DISTINCT c.Ecountries, c.EcountryCodes, e.service_provider",after,retrieval,neo4j,285.300402,1716575,1160
S_Off-1,1,"PROFILE MATCH (c:EcountriesecountryCodes) WHERE c.Ecountries IS NOT NULL AND c.EcountryCodes IS NOT NULL AND c.Ecountries = ""Singapore"" SET c.EcountryCodes = ""Sp""",after,update,neo4j,0.455642,6,328
S_Off-1,1,"PROFILE MATCH (:Entity)-[]->(c:EcountriesecountryCodes) WHERE c.Ecountries IS NOT NULL AND c.EcountryCodes IS NOT NULL AND c.Ecountries = ""Singapore"" SET c.EcountryCodes = ""Sp""",after,update,neo4j,16.938996,24071,328
S_Off-1,1,"PROFILE MATCH (:Entity)-[]->(c:EcountriesecountryCodes) WHERE c.Ecountries IS NOT NULL AND c.EcountryCodes IS NOT NULL AND c.Ecountries = ""Singapore"" WITH DISTINCT c SET c.EcountryCodes = ""Sp""",after,update,neo4j,3.110218,14447,560
S_Off-1,1,"PROFILE MATCH (c:EcountriesecountryCodes) WHERE c.Ecountries IS NOT NULL AND c.EcountryCodes IS NOT NULL RETURN DISTINCT c.Ecountries, c.EcountryCodes",after,retrieval,neo4j,2.297,2575,544
S_Off-1,1,"PROFILE MATCH (:Entity)-[]->(c:EcountriesecountryCodes) WHERE c.Ecountries IS NOT NULL AND c.EcountryCodes IS NOT NULL RETURN DISTINCT c.Ecountries, c.EcountryCodes",after,retrieval,neo4j,86.953114,1031379,536
S_Off-1,2,"PROFILE MATCH (e:Entity)-[]-(c:EcountriesecountryCodes) WHERE c.Ecountries IS NOT NULL AND c.EcountryCodes IS NOT NULL RETURN DISTINCT c.Ecountries, c.EcountryCodes, e.service_provider",after,retrieval,neo4j,279.956539,1716575,1160
S_Off-1,1,"PROFILE MATCH (c:EcountriesecountryCodes) WHERE c.Ecountries IS NOT NULL AND c.EcountryCodes IS NOT NULL AND c.Ecountries = ""Singapore"" SET c.EcountryCodes = ""Sp""",after,update,neo4j,0.256854,6,328
