scenario,queryNo,query,state,mode,database,time,dbhits,memory
S_Off-1,1,"PROFILE MATCH (e:Entity) WHERE e.countries IS NOT NULL AND e.jurisdiction_description IS NOT NULL AND e.country_codes IS NOT NULL RETURN DISTINCT e.countries, e.country_codes",before,retrieval,neo4j,437.692519,2524955,600
S_Off-1,2,"PROFILE MATCH (e:Entity) WHERE e.countries IS NOT NULL AND e.service_provider IS NOT NULL AND e.country_codes IS NOT NULL RETURN DISTINCT e.countries,e.service_provider, e.country_codes",before,retrieval,neo4j,256.316844,1715964,108432
S_Off-1,1,"PROFILE MATCH (e:Entity) WHERE e.countries IS NOT NULL AND e.jurisdiction_description IS NOT NULL AND e.country_codes IS NOT NULL AND e.countries = ""Singapore"" SET e.country_codes = ""Sp""",before,update,neo4j,65.937196,33692,43432
S_Off-1,1,"PROFILE MATCH (e:Entity) WHERE e.countries IS NOT NULL AND e.jurisdiction_description IS NOT NULL AND e.country_codes IS NOT NULL RETURN DISTINCT e.countries, e.country_codes",before,retrieval,neo4j,403.375946,2524955,600
S_Off-1,2,"PROFILE MATCH (e:Entity) WHERE e.countries IS NOT NULL AND e.service_provider IS NOT NULL AND e.country_codes IS NOT NULL RETURN DISTINCT e.countries,e.service_provider, e.country_codes",before,retrieval,neo4j,253.835237,1715964,108432
S_Off-1,1,"PROFILE MATCH (e:Entity) WHERE e.countries IS NOT NULL AND e.jurisdiction_description IS NOT NULL AND e.country_codes IS NOT NULL AND e.countries = ""Singapore"" SET e.country_codes = ""Sp""",before,update,neo4j,24.267755,33692,43432
S_Off-1,1,"PROFILE MATCH (e:Entity) WHERE e.countries IS NOT NULL AND e.jurisdiction_description IS NOT NULL AND e.country_codes IS NOT NULL RETURN DISTINCT e.countries, e.country_codes",before,retrieval,neo4j,404.248933,2524955,600
S_Off-1,2,"PROFILE MATCH (e:Entity) WHERE e.countries IS NOT NULL AND e.service_provider IS NOT NULL AND e.country_codes IS NOT NULL RETURN DISTINCT e.countries,e.service_provider, e.country_codes",before,retrieval,neo4j,253.15525,1715964,108432
S_Off-1,1,"PROFILE MATCH (e:Entity) WHERE e.countries IS NOT NULL AND e.jurisdiction_description IS NOT NULL AND e.country_codes IS NOT NULL AND e.countries = ""Singapore"" SET e.country_codes = ""Sp""",before,update,neo4j,19.854403,33692,43432
S_Off-1,1,"PROFILE MATCH (e:Entity) WHERE e.countries IS NOT NULL AND e.jurisdiction_description IS NOT NULL AND e.country_codes IS NOT NULL RETURN DISTINCT e.countries, e.country_codes",before,retrieval,neo4j,404.284376,2524955,600
S_Off-1,2,"PROFILE MATCH (e:Entity) WHERE e.countries IS NOT NULL AND e.service_provider IS NOT NULL AND e.country_codes IS NOT NULL RETURN DISTINCT e.countries,e.service_provider, e.country_codes",before,retrieval,neo4j,258.873202,1715964,108432
S_Off-1,1,"PROFILE MATCH (e:Entity) WHERE e.countries IS NOT NULL AND e.jurisdiction_description IS NOT NULL AND e.country_codes IS NOT NULL AND e.countries = ""Singapore"" SET e.country_codes = ""Sp""",before,update,neo4j,18.001209,33692,43432
S_Off-1,1,"PROFILE MATCH (e:Entity) WHERE e.countries IS NOT NULL AND e.jurisdiction_description IS NOT NULL AND e.country_codes IS NOT NULL RETURN DISTINCT e.countries, e.country_codes",before,retrieval,neo4j,399.622956,2524955,600
S_Off-1,2,"PROFILE MATCH (e:Entity) WHERE e.countries IS NOT NULL AND e.service_provider IS NOT NULL AND e.country_codes IS NOT NULL RETURN DISTINCT e.countries,e.service_provider, e.country_codes",before,retrieval,neo4j,246.823546,1715964,108432
S_Off-1,1,"PROFILE MATCH (e:Entity) WHERE e.countries IS NOT NULL AND e.jurisdiction_description IS NOT NULL AND e.country_codes IS NOT NULL AND e.countries = ""Singapore"" SET e.country_codes = ""Sp""",before,update,neo4j,10.24744,33692,43432
S_Off-1,1,"PROFILE MATCH (e:Entity) WHERE e.countries IS NOT NULL AND e.jurisdiction_description IS NOT NULL AND e.country_codes IS NOT NULL RETURN DISTINCT e.countries, e.country_codes",before,retrieval,neo4j,399.057259,2524955,600
S_Off-1,2,"PROFILE MATCH (e:Entity) WHERE e.countries IS NOT NULL AND e.service_provider IS NOT NULL AND e.country_codes IS NOT NULL RETURN DISTINCT e.countries,e.service_provider, e.country_codes",before,retrieval,neo4j,255.143837,1715964,108432
S_Off-1,1,"PROFILE MATCH (e:Entity) WHERE e.countries IS NOT NULL AND e.jurisdiction_description IS NOT NULL AND e.country_codes IS NOT NULL AND e.countries = ""Singapore"" SET e.country_codes = ""Sp""",before,update,neo4j,8.875747,33692,43432
S_Off-1,1,"PROFILE MATCH (e:Entity) WHERE e.countries IS NOT NULL AND e.jurisdiction_description IS NOT NULL AND e.country_codes IS NOT NULL RETURN DISTINCT e.countries, e.country_codes",before,retrieval,neo4j,403.01803,2524955,600
S_Off-1,2,"PROFILE MATCH (e:Entity) WHERE e.countries IS NOT NULL AND e.service_provider IS NOT NULL AND e.country_codes IS NOT NULL RETURN DISTINCT e.countries,e.service_provider, e.country_codes",before,retrieval,neo4j,279.514873,1715964,108432
S_Off-1,1,"PROFILE MATCH (e:Entity) WHERE e.countries IS NOT NULL AND e.jurisdiction_description IS NOT NULL AND e.country_codes IS NOT NULL AND e.countries = ""Singapore"" SET e.country_codes = ""Sp""",before,update,neo4j,9.26001,33692,43432
S_Off-1,1,"PROFILE MATCH (e:Entity) WHERE e.countries IS NOT NULL AND e.jurisdiction_description IS NOT NULL AND e.country_codes IS NOT NULL RETURN DISTINCT e.countries, e.country_codes",before,retrieval,neo4j,401.059927,2524955,600
S_Off-1,2,"PROFILE MATCH (e:Entity) WHERE e.countries IS NOT NULL AND e.service_provider IS NOT NULL AND e.country_codes IS NOT NULL RETURN DISTINCT e.countries,e.service_provider, e.country_codes",before,retrieval,neo4j,247.19312,1715964,108432
S_Off-1,1,"PROFILE MATCH (e:Entity) WHERE e.countries IS NOT NULL AND e.jurisdiction_description IS NOT NULL AND e.country_codes IS NOT NULL AND e.countries = ""Singapore"" SET e.country_codes = ""Sp""",before,update,neo4j,8.248363,33692,43432
S_Off-1,1,"PROFILE MATCH (e:Entity) WHERE e.countries IS NOT NULL AND e.jurisdiction_description IS NOT NULL AND e.country_codes IS NOT NULL RETURN DISTINCT e.countries, e.country_codes",before,retrieval,neo4j,400.60751,2524955,600
S_Off-1,2,"PROFILE MATCH (e:Entity) WHERE e.countries IS NOT NULL AND e.service_provider IS NOT NULL AND e.country_codes IS NOT NULL RETURN DISTINCT e.countries,e.service_provider, e.country_codes",before,retrieval,neo4j,247.216785,1715964,108432
S_Off-1,1,"PROFILE MATCH (e:Entity) WHERE e.countries IS NOT NULL AND e.jurisdiction_description IS NOT NULL AND e.country_codes IS NOT NULL AND e.countries = ""Singapore"" SET e.country_codes = ""Sp""",before,update,neo4j,9.176863,33692,43432
S_Off-1,1,"PROFILE MATCH (e:Entity) WHERE e.countries IS NOT NULL AND e.jurisdiction_description IS NOT NULL AND e.country_codes IS NOT NULL RETURN DISTINCT e.countries, e.country_codes",before,retrieval,neo4j,416.729782,2524955,600
S_Off-1,2,"PROFILE MATCH (e:Entity) WHERE e.countries IS NOT NULL AND e.service_provider IS NOT NULL AND e.country_codes IS NOT NULL RETURN DISTINCT e.countries,e.service_provider, e.country_codes",before,retrieval,neo4j,245.038092,1715964,108432
S_Off-1,1,"PROFILE MATCH (e:Entity) WHERE e.countries IS NOT NULL AND e.jurisdiction_description IS NOT NULL AND e.country_codes IS NOT NULL AND e.countries = ""Singapore"" SET e.country_codes = ""Sp""",before,update,neo4j,8.84651,33692,43432
