scenario,queryNo,query,state,mode,database,time,dbhits,memory
S_Ts-2,1,"PROFILE MATCH (n:Snametcode) RETURN DISTINCT n.Sname, n.Tcode",after,retrieval,memgraph,290.188785,5673812,
S_Ts-2,1,"PROFILE MATCH (s:Station)-->(n:Snametcode), (t:STOPS_AT)-->(n), (t)-->(s) RETURN DISTINCT n.Sname, n.Tcode",after,retrieval,memgraph,2105.2668700000004,21532367,
S_Ts-2,2,"PROFILE MATCH (ts:TrainService)-->(t:STOPS_AT)-->(s:Station), (ts)-->(d:Tsdatetsnumbertstype), (s)-->(n:Snametcode), (t)-->(n) WHERE d.Tstype CONTAINS ""Nightjet"" RETURN DISTINCT d.Tsnumber, d.Tstype, n.Tcode",after,retrieval,memgraph,8233.321909,191562509,
S_Ts-2,3,"PROFILE MATCH (ts:TrainService)-->(d:Tsdatetsnumbertstype) WHERE d.Tstype CONTAINS ""Nightjet"" RETURN DISTINCT d.Tsnumber, ts.completely_cancelled",after,retrieval,memgraph,1053.5944370000002,9712778,
S_Ts-2,4,"PROFILE MATCH (ts:TrainService)-->(d:Tsdatetsnumbertstype), (ts)-->(e:Tsdatetsnumbertsoperator) WHERE d.Tstype CONTAINS ""Sprinter"" RETURN DISTINCT d.Tsnumber, e.Tsoperator",after,retrieval,memgraph,1206.250605,13381704,
S_Ts-2,4,"PROFILE MATCH (ts:TrainService)-->(d:Tsdatetsnumbertstype), (ts)-->(e:Tsdatetsnumbertsoperator) WHERE d.Tstype CONTAINS ""Sprinter"" RETURN DISTINCT d.Tsnumber, e.Tsoperator",after,retrieval,memgraph,1242.271023,13381704,
S_Ts-2,1,"PROFILE MATCH (n:Snametcode) WHERE n.Sname = ""Innsbruck Hbf"" SET n.Tcode = ""Rainbow""",after,update,memgraph,0.045949,7,
S_Ts-2,1,"PROFILE MATCH (s:Station)-->(n:Snametcode), (t:STOPS_AT)-->(n), (t)-->(s) WHERE n.Sname = ""Innsbruck Hbf"" SET n.Tcode = ""Rainbow""",after,update,memgraph,0.05450300000000001,226,
S_Ts-2,1,"PROFILE MATCH (s:Station)-->(n:Snametcode), (t:STOPS_AT)-->(n), (t)-->(s) WHERE n.Sname = ""Innsbruck Hbf"" WITH DISTINCT n  SET n.Tcode = ""Rainbow""",after,update,memgraph,0.076735,230,
S_Ts-2,1,"PROFILE MATCH (n:Snametcode) RETURN DISTINCT n.Sname, n.Tcode",after,retrieval,memgraph,290.359829,5673812,
S_Ts-2,1,"PROFILE MATCH (s:Station)-->(n:Snametcode), (t:STOPS_AT)-->(n), (t)-->(s) RETURN DISTINCT n.Sname, n.Tcode",after,retrieval,memgraph,2107.7699959999995,21532367,
