scenario,queryNo,query,state,mode,database,time,dbhits,memory
S_Ts-2,1,"PROFILE MATCH (n:Snametcode) RETURN DISTINCT n.Sname, n.Tcode",after,retrieval,neo4j,6.117352,2169,104080
S_Ts-2,1,"PROFILE MATCH (s:Station)-->(n:Snametcode), (t:STOPS_AT)-->(n), (t)-->(s) RETURN DISTINCT n.Sname, n.Tcode",after,retrieval,neo4j,4.038462,14623422,319224
S_Ts-2,2,"PROFILE MATCH (ts:TrainService)-->(t:STOPS_AT)-->(s:Station), (ts)-->(d:Tsdatetsnumbertstype), (s)-->(n:Snametcode), (t)-->(n) WHERE d.Tstype CONTAINS ""Nightjet"" RETURN DISTINCT d.Tsnumber, d.Tstype, n.Tcode",after,retrieval,neo4j,0.104497,637897,267360
S_Ts-2,3,"PROFILE MATCH (ts:TrainService)-->(d:Tsdatetsnumbertstype) WHERE d.Tstype CONTAINS ""Nightjet"" RETURN DISTINCT d.Tsnumber, ts.completely_cancelled",after,retrieval,neo4j,54.937126,578976,1440
S_Ts-2,4,"PROFILE MATCH (ts:TrainService)-->(d:Tsdatetsnumbertstype), (ts)-->(e:Tsdatetsnumbertsoperator) WHERE d.Tstype CONTAINS ""Sprinter"" RETURN DISTINCT d.Tsnumber, e.Tsoperator",after,retrieval,neo4j,651.143663,6310756,837080
S_Ts-2,4,"PROFILE MATCH (ts:TrainService)-->(d:Tsdatetsnumbertstype), (ts)-->(e:Tsdatetsnumbertsoperator) WHERE d.Tstype CONTAINS ""Sprinter"" RETURN DISTINCT d.Tsnumber, e.Tsoperator",after,retrieval,neo4j,496.874769,6310756,837080
S_Ts-2,1,"PROFILE MATCH (n:Snametcode) WHERE n.Sname = ""Innsbruck Hbf"" SET n.Tcode = ""Rainbow""",after,update,neo4j,0.950724,4,312
S_Ts-2,1,"PROFILE MATCH (s:Station)-->(n:Snametcode), (t:STOPS_AT)-->(n), (t)-->(s) WHERE n.Sname = ""Innsbruck Hbf"" SET n.Tcode = ""Rainbow""",after,update,neo4j,0.001753,2989,46572
S_Ts-2,1,"PROFILE MATCH (s:Station)-->(n:Snametcode), (t:STOPS_AT)-->(n), (t)-->(s) WHERE n.Sname = ""Innsbruck Hbf"" WITH DISTINCT n  SET n.Tcode = ""Rainbow""",after,update,neo4j,0.001772,2960,46572
S_Ts-2,1,"PROFILE MATCH (n:Snametcode) RETURN DISTINCT n.Sname, n.Tcode",after,retrieval,neo4j,1.214108,2169,104080
S_Ts-2,1,"PROFILE MATCH (s:Station)-->(n:Snametcode), (t:STOPS_AT)-->(n), (t)-->(s) RETURN DISTINCT n.Sname, n.Tcode",after,retrieval,neo4j,1.657495,14623422,319224
S_Ts-2,2,"PROFILE MATCH (ts:TrainService)-->(t:STOPS_AT)-->(s:Station), (ts)-->(d:Tsdatetsnumbertstype), (s)-->(n:Snametcode), (t)-->(n) WHERE d.Tstype CONTAINS ""Nightjet"" RETURN DISTINCT d.Tsnumber, d.Tstype, n.Tcode",after,retrieval,neo4j,0.039909,637897,267360
S_Ts-2,3,"PROFILE MATCH (ts:TrainService)-->(d:Tsdatetsnumbertstype) WHERE d.Tstype CONTAINS ""Nightjet"" RETURN DISTINCT d.Tsnumber, ts.completely_cancelled",after,retrieval,neo4j,53.97953,578976,1440
S_Ts-2,4,"PROFILE MATCH (ts:TrainService)-->(d:Tsdatetsnumbertstype), (ts)-->(e:Tsdatetsnumbertsoperator) WHERE d.Tstype CONTAINS ""Sprinter"" RETURN DISTINCT d.Tsnumber, e.Tsoperator",after,retrieval,neo4j,572.625499,6310756,837080
S_Ts-2,4,"PROFILE MATCH (ts:TrainService)-->(d:Tsdatetsnumbertstype), (ts)-->(e:Tsdatetsnumbertsoperator) WHERE d.Tstype CONTAINS ""Sprinter"" RETURN DISTINCT d.Tsnumber, e.Tsoperator",after,retrieval,neo4j,491.184869,6310756,837080
S_Ts-2,1,"PROFILE MATCH (n:Snametcode) WHERE n.Sname = ""Innsbruck Hbf"" SET n.Tcode = ""Rainbow""",after,update,neo4j,0.358357,4,312
S_Ts-2,1,"PROFILE MATCH (s:Station)-->(n:Snametcode), (t:STOPS_AT)-->(n), (t)-->(s) WHERE n.Sname = ""Innsbruck Hbf"" SET n.Tcode = ""Rainbow""",after,update,neo4j,0.000591,2989,46572
S_Ts-2,1,"PROFILE MATCH (s:Station)-->(n:Snametcode), (t:STOPS_AT)-->(n), (t)-->(s) WHERE n.Sname = ""Innsbruck Hbf"" WITH DISTINCT n  SET n.Tcode = ""Rainbow""",after,update,neo4j,0.000521,2960,46572
S_Ts-2,1,"PROFILE MATCH (n:Snametcode) RETURN DISTINCT n.Sname, n.Tcode",after,retrieval,neo4j,1.16855,2169,104080
S_Ts-2,1,"PROFILE MATCH (s:Station)-->(n:Snametcode), (t:STOPS_AT)-->(n), (t)-->(s) RETURN DISTINCT n.Sname, n.Tcode",after,retrieval,neo4j,1.202553,14623422,319224
