,scenario,queryNo,database,query,state,dbhits,mode,time,memory,plot_category,type
0,S_Lon,1,memgraph,"PROFILE MATCH  ()-[]-(d:CONNECTED_THROUGH)-[]-(), (d)-[]-(c:Ccolorclinectype) RETURN DISTINCT c.Cline, c.Ccolor",after,35898,retrieval,10.8137812,,retrieval $S_\text{Lon}$; Query 1; Memgraph,direct + naive
1,S_Lon,1,memgraph,"PROFILE MATCH ()-[c:CONNECTED_THROUGH]->() RETURN DISTINCT c.line, c.color",before,4589,retrieval,2.506182,,retrieval $S_\text{Lon}$; Query 1; Memgraph,original
2,S_Lon,1,memgraph,"PROFILE MATCH ()-[c:CONNECTED_THROUGH]->() WHERE c.line = ""Bakerloo"" SET c.color = ""Rainbow""",before,2706,update,1.0885251999999999,,update $S_\text{Lon}$; Query 1; Memgraph,original
3,S_Lon,1,memgraph,"PROFILE MATCH (:CONNECTED_THROUGH)-->(c:Ccolorclinectype) WHERE c.Cline = ""Bakerloo"" SET c.Ccolor = ""Rainbow""",after,152,update,0.12316039999999999,,update $S_\text{Lon}$; Query 1; Memgraph,direct + naive
4,S_Lon,1,memgraph,"PROFILE MATCH (:CONNECTED_THROUGH)-->(c:Ccolorclinectype) WHERE c.Cline = ""Bakerloo"" WITH DISTINCT c SET c.Ccolor = ""Rainbow""",after,156,update,0.1336934,,update $S_\text{Lon}$; Query 1; Memgraph,direct + naive
5,S_Lon,1,memgraph,"PROFILE MATCH (c:Ccolorclinectype) RETURN DISTINCT c.Cline, c.Ccolor",after,2736,retrieval,0.46618440000000005,,retrieval $S_\text{Lon}$; Query 1; Memgraph,direct + optimal
6,S_Lon,1,memgraph,"PROFILE MATCH (c:Ccolorclinectype) WHERE c.Cline = ""Bakerloo"" SET c.Ccolor = ""Rainbow""",after,7,update,0.07102839999999999,,update $S_\text{Lon}$; Query 1; Memgraph,direct + optimal
7,S_Lon,1,neo4j,"PROFILE MATCH  ()-[]-(d:CONNECTED_THROUGH)-[]-(), (d)-[]-(c:Ccolorclinectype) RETURN DISTINCT c.Cline, c.Ccolor",after,25517,retrieval,16.0944456,5800.0,retrieval $S_\text{Lon}$; Query 1; Neo4j,direct + naive
8,S_Lon,1,neo4j,"PROFILE MATCH ()-[c:CONNECTED_THROUGH]->() RETURN DISTINCT c.line, c.color",before,5857,retrieval,3.9427925000000004,5776.0,retrieval $S_\text{Lon}$; Query 1; Neo4j,original
9,S_Lon,1,neo4j,"PROFILE MATCH ()-[c:CONNECTED_THROUGH]->() WHERE c.line = ""Bakerloo"" SET c.color = ""Rainbow""",before,4001,update,1.9775980999999998,328.0,update $S_\text{Lon}$; Query 1; Neo4j,original
